CustomerAccountNumber,PostCode,County,DocumentNo,Year,DocumentDate,ItemCode,StockUnitLineQuantity,Code,LineTotalValue,Source,TotalNetValue
GRO070,W1K 7TN,London,52974,2019,13/11/2019,GC D9-02002,72,GC,511.92,Email,511.92
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,BW C1-01051,5,BW,41.89,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,GC A3-AC001,48,GC,149.4,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,BW N4-11016,2,BW,11.45,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,GC A3-AC001,48,GC,149.4,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,GC C1-75001,24,GC,65.34,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,BW C6-04001,4,BW,8.19,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,BW N4-11016,2,BW,11.45,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,BW C1-01051,1,BW,8.38,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,BW C8-11006,4,BW,23.76,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,GC Z9-01001,192,GC,312.48,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,BW C6-04003,3,BW,7.52,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,GC C1-40012,200,GC,69,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,GC Z9-01001,48,GC,78.12,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,GC C1-58006,6,GC,13.73,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,GC C1-58006,18,GC,41.18,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,BW C1-01035,4,BW,9.57,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,KW C8-01019,3,KW,11.09,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,BW C1-01018,4,BW,28.89,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,GC A3-03012,48,GC,111.6,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,GC A3-03012,48,GC,111.6,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,KW C6-18001,4,KW,7.95,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,KW A7-08010,30,KW,20.48,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,GC C1-30005,120,GC,141.3,Email,1568.03
FLI005,EC2A 2AH,London,52973,2019,13/11/2019,GC C1-27005,48,GC,134.28,Email,1568.03
POL024,BN1 1UF,Brighton,52972,2019,13/11/2019,CR H3-57030,24,CR,37.62,Email,131.82
POL024,BN1 1UF,Brighton,52972,2019,13/11/2019,KW C8-07062,3,KW,14.22,Email,131.82
POL024,BN1 1UF,Brighton,52972,2019,13/11/2019,GC C1-55003,72,GC,64.26,Email,131.82
POL024,BN1 1UF,Brighton,52972,2019,13/11/2019,TA C1-02004,24,TA,9.72,Email,131.82
OFF026,E1 7QA,London,52971,2019,13/11/2019,CT B2-14TF,36,CT,120.6,Email,486.54
OFF026,E1 7QA,London,52971,2019,13/11/2019,CT B2-14TF,48,CT,160.8,Email,486.54
OFF026,E1 7QA,London,52971,2019,13/11/2019,CT B2-14TE,24,CT,48.96,Email,486.54
OFF026,E1 7QA,London,52971,2019,13/11/2019,CT B2-14TE,36,CT,73.44,Email,486.54
OFF026,E1 7QA,London,52971,2019,13/11/2019,CR A9-04111,42,CR,82.74,Email,486.54
MIS001,TW13 7HF,Middlesex,52969,2019,13/11/2019,CT B6-09TF,48,CT,18.72,Web,57.36
MIS001,TW13 7HF,Middlesex,52969,2019,13/11/2019,CT B6-09TE,48,CT,12.48,Web,57.36
MIS001,TW13 7HF,Middlesex,52969,2019,13/11/2019,CT B6-09TS,48,CT,20.16,Web,57.36
JEF001,EC2N 4JL,London,52968,2019,13/11/2019,CR H3-69005,504,CR,1559.38,Email,1559.38
LAN079,W1S 4FF,London,52967,2019,13/11/2019,CR A9-19025,18,CR,21.96,Web,71.88
LAN079,W1S 4FF,London,52967,2019,13/11/2019,CR A9-19025,36,CR,43.92,Web,71.88
107001,NW10 6LE,London,52965,2019,13/11/2019,CR A9-19066,12,CR,5.67,Web,187.63
107001,NW10 6LE,London,52965,2019,13/11/2019,CR A9-19030,24,CR,18.36,Web,187.63
107001,NW10 6LE,London,52965,2019,13/11/2019,CT BR-DS,24,CT,7.49,Web,187.63
107001,NW10 6LE,London,52965,2019,13/11/2019,CT BR-DF,72,CT,22.46,Web,187.63
107001,NW10 6LE,London,52965,2019,13/11/2019,CR A9-19071,12,CR,9.36,Web,187.63
107001,NW10 6LE,London,52965,2019,13/11/2019,CT BR-DKS,60,CT,34.56,Web,187.63
107001,NW10 6LE,London,52965,2019,13/11/2019,CR A9-19011,36,CR,28.35,Web,187.63
107001,NW10 6LE,London,52965,2019,13/11/2019,CR A9-19009,36,CR,43.74,Web,187.63
107001,NW10 6LE,London,52965,2019,13/11/2019,CR A9-19034,24,CR,17.64,Web,187.63
OFF006,EC1N 8SS,London,52963,2019,13/11/2019,CT B2-16TKS,36,CT,120.38,Email,515.8
OFF006,EC1N 8SS,London,52963,2019,13/11/2019,CT B2-16TE,60,CT,114.24,Email,515.8
OFF006,EC1N 8SS,London,52963,2019,13/11/2019,CT B2-16DS,36,CT,95.9,Email,515.8
OFF006,EC1N 8SS,London,52963,2019,13/11/2019,CT B2-16TF,60,CT,185.28,Email,515.8
OFF007,EC2A 3AY,London,52959,2019,13/11/2019,CR A9-04111,102,CR,200.74,Email,561.89
OFF007,EC2A 3AY,London,52959,2019,13/11/2019,CT B2-16TKS,48,CT,160.51,Email,561.89
OFF007,EC2A 3AY,London,52959,2019,13/11/2019,CT B2-16TKS,60,CT,200.64,Email,561.89
AMAZON,BL8 4BQ,Lancs,52958,2019,13/11/2019,GC A3-34019,1,GC,0,Web,0
AMAZON,SK10 4AZ,Cheshire,52956,2019,13/11/2019,GC A3-34019,6,GC,27.07,Web,27.07
MAR003,NW1 2AR,London,52955,2019,13/11/2019,GC C1-27005,48,GC,143.23,Email,220.61
MAR003,NW1 2AR,London,52955,2019,13/11/2019,GC C1-BC005,12,GC,38.69,Email,220.61
MAR003,NW1 2AR,London,52955,2019,13/11/2019,GC C1-BC005,12,GC,38.69,Email,220.61
AMAZON,CH1 2LH,CHESHIRE,52953,2019,13/11/2019,GC A3-34019,1,GC,0,Web,0
AMAZON,L18 3LN,Merseyside,52952,2019,13/11/2019,GC A3-34019,6,GC,27.07,Web,27.07
AMAZON,BA4 5QA,Somerset,52950,2019,13/11/2019,GC A3-34019,6,GC,27.07,Web,27.07
AMAZON,ML1 5EG,Lanarkshire,52949,2019,13/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
AMAZON,B97 6LF,Worcestershire,52948,2019,13/11/2019,GC A3-34019,6,GC,27.07,Web,27.07
AMAZON,B72 1DS,West Midlands,52943,2019,13/11/2019,GC A3-34019,12,GC,54.15,Web,54.15
AMAZON,SO41 8LW,Hants,52941,2019,13/11/2019,GC A3-34019,6,GC,27.49,Web,27.49
OFF032,SW1V 1PX,London,52935,2019,13/11/2019,CT B2-16TE,300,CT,571.2,Email,1052.93
OFF032,SW1V 1PX,London,52935,2019,13/11/2019,CT B2-16TF,156,CT,481.73,Email,1052.93
FLI006,WC1A 1BS,London,52934,2019,13/11/2019,GC C1-30005,24,GC,28.26,Email,319.33
FLI006,WC1A 1BS,London,52934,2019,13/11/2019,GC A3-03012,48,GC,111.6,Email,319.33
FLI006,WC1A 1BS,London,52934,2019,13/11/2019,BW C1-01075,12,BW,13.23,Email,319.33
FLI006,WC1A 1BS,London,52934,2019,13/11/2019,CT A9-05TE,12,CT,2.7,Email,319.33
FLI006,WC1A 1BS,London,52934,2019,13/11/2019,GC A3-AC001,24,GC,74.7,Email,319.33
FLI006,WC1A 1BS,London,52934,2019,13/11/2019,BW C1-01051,1,BW,8.38,Email,319.33
FLI006,WC1A 1BS,London,52934,2019,13/11/2019,GC Z9-01001,48,GC,78.12,Email,319.33
FLI006,WC1A 1BS,London,52934,2019,13/11/2019,BW C1-01096,12,BW,2.34,Email,319.33
FLI004,SW1E 5DJ,London,52933,2019,13/11/2019,GC Z9-01001,24,GC,39.06,Email,338.22
FLI004,SW1E 5DJ,London,52933,2019,13/11/2019,GC A3-AC001,48,GC,149.4,Email,338.22
FLI004,SW1E 5DJ,London,52933,2019,13/11/2019,GC A3-03012,24,GC,55.8,Email,338.22
FLI004,SW1E 5DJ,London,52933,2019,13/11/2019,GC C1-79006,24,GC,59.76,Email,338.22
FLI004,SW1E 5DJ,London,52933,2019,13/11/2019,GC C1-30005,24,GC,28.26,Email,338.22
FLI004,SW1E 5DJ,London,52933,2019,13/11/2019,CT E7-01DS,36,CT,5.94,Email,338.22
VIR007,HA5 1QG,Middlesex,52927,2019,12/11/2019,CR A9-11025,1,CR,0,Email,0
VIR007,HA5 1QG,Middlesex,52927,2019,12/11/2019,BF C8-14017,1,BF,0,Email,0
VIR007,HA5 1QG,Middlesex,52927,2019,12/11/2019,CR A9-11026,1,CR,0,Email,0
VIR007,HA5 1QG,Middlesex,52927,2019,12/11/2019,BF C8-14022,1,BF,0,Email,0
HIG041,N5 2AB,London,52926,2019,12/11/2019,BF C8-21028,24,BF,22.68,Email,1161.78
HIG041,N5 2AB,London,52926,2019,12/11/2019,CR D9-76020,12,CR,249.12,Email,1161.78
HIG041,N5 2AB,London,52926,2019,12/11/2019,CT B6-09TE,36,CT,8.91,Email,1161.78
HIG041,N5 2AB,London,52926,2019,12/11/2019,CR D9-76003,48,CR,285.12,Email,1161.78
HIG041,N5 2AB,London,52926,2019,12/11/2019,CR D9-76041,24,CR,184.14,Email,1161.78
HIG041,N5 2AB,London,52926,2019,12/11/2019,BF C8-41001,20,BF,119.4,Email,1161.78
HIG041,N5 2AB,London,52926,2019,12/11/2019,CR D9-76043,48,CR,0,Email,1161.78
HIG041,N5 2AB,London,52926,2019,12/11/2019,CR D9-76001,36,CR,292.41,Email,1161.78
AMAZON,CR2 7EL,South Croydon,52925,2019,12/11/2019,GC A3-34019,6,GC,27.07,Web,27.07
AMAZON,RG1 6AD,berks,52924,2019,12/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
AMAZON,CT6 7ET,KENT,52923,2019,12/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
AMAZON,SE5 8BS,LONDON,52922,2019,12/11/2019,GC A3-34018,6,GC,34.99,Web,34.99
MAC027,WR1 2NA,Worcester,52918,2019,12/11/2019,CT A2-06DS,12,CT,22.32,Web,157.56
MAC027,WR1 2NA,Worcester,52918,2019,12/11/2019,CT A2-06DF,12,CT,22.32,Web,157.56
MAC027,WR1 2NA,Worcester,52918,2019,12/11/2019,CT A2-06CF,12,CT,15.48,Web,157.56
MAC027,WR1 2NA,Worcester,52918,2019,12/11/2019,CT A2-06TF,12,CT,24.48,Web,157.56
MAC027,WR1 2NA,Worcester,52918,2019,12/11/2019,CT A2-06SS,12,CT,22.32,Web,157.56
MAC027,WR1 2NA,Worcester,52918,2019,12/11/2019,CT A2-06TKS,12,CT,26.16,Web,157.56
MAC027,WR1 2NA,Worcester,52918,2019,12/11/2019,CT A2-06DKS,12,CT,24.48,Web,157.56
LIO011,DE56 1AX,Derbyshire,52915,2019,12/11/2019,CT B6-06TF,36,CT,36.99,Phone,1007.64
LIO011,DE56 1AX,Derbyshire,52915,2019,12/11/2019,CT B6-06TF,36,CT,36.99,Phone,1007.64
LIO011,DE56 1AX,Derbyshire,52915,2019,12/11/2019,CT B2-09TKST,36,CT,122.58,Phone,1007.64
LIO011,DE56 1AX,Derbyshire,52915,2019,12/11/2019,CT B6-06DF,60,CT,49.5,Phone,1007.64
LIO011,DE56 1AX,Derbyshire,52915,2019,12/11/2019,CT B6-06DF,12,CT,9.9,Phone,1007.64
LIO011,DE56 1AX,Derbyshire,52915,2019,12/11/2019,CT B6-06TE,144,CT,74.52,Phone,1007.64
LIO011,DE56 1AX,Derbyshire,52915,2019,12/11/2019,CT B2-09DS,96,CT,239.04,Phone,1007.64
LIO011,DE56 1AX,Derbyshire,52915,2019,12/11/2019,CT B2-09DF,120,CT,298.8,Phone,1007.64
LIO011,DE56 1AX,Derbyshire,52915,2019,12/11/2019,CT B2-09TF,48,CT,139.32,Phone,1007.64
CEL003,NP18 1HQ,South Wales,52913,2019,12/11/2019,BW K8-01001,20,BW,500,Web,500
AMAZON,PE34 4RN,Norfolk,52911,2019,12/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
MIX002,E2 8AA,London,52908,2019,12/11/2019,GC C1-AN003,24,GC,67.32,Email,226.98
MIX002,E2 8AA,London,52908,2019,12/11/2019,GC A9-02003,36,GC,63.18,Email,226.98
MIX002,E2 8AA,London,52908,2019,12/11/2019,GC A3-69005,48,GC,96.48,Email,226.98
DIR001,TQ12 4PB,Devon,52906,2019,12/11/2019,CR H3-73042,12,CR,23.16,Web,29.16
HAR132,N14 6HA,London,52905,2019,12/11/2019,CT A2-23TE,1,CT,0,Email,0
HAR132,N14 6HA,London,52905,2019,12/11/2019,CT B6-06TF,1,CT,0,Email,0
HAR132,N14 6HA,London,52905,2019,12/11/2019,GC D8-15011,1,GC,0,Email,0
HAR132,N14 6HA,London,52905,2019,12/11/2019,GC A3-38001,1,GC,0,Email,0
HAR132,N14 6HA,London,52905,2019,12/11/2019,GC A3-03027,1,GC,0,Email,0
HAR132,N14 6HA,London,52905,2019,12/11/2019,GC D8-03006,1,GC,0,Email,0
HAR132,N14 6HA,London,52905,2019,12/11/2019,CT A2-23TKS,1,CT,0,Email,0
HAR132,N14 6HA,London,52905,2019,12/11/2019,CT B6-06DS,1,CT,0,Email,0
HAR132,N14 6HA,London,52905,2019,12/11/2019,GC D8-09011,1,GC,0,Email,0
HAR132,N14 6HA,London,52905,2019,12/11/2019,CT B6-06TKS,1,CT,0,Email,0
HAR132,N14 6HA,London,52905,2019,12/11/2019,CT B6-06TE,1,CT,0,Email,0
HAR132,N14 6HA,London,52905,2019,12/11/2019,CT A2-23TF,1,CT,0,Email,0
HAR132,N14 6HA,London,52905,2019,12/11/2019,CT A2-23DS,1,CT,0,Email,0
AMAZON,BS8 2SH,Avon,52904,2019,12/11/2019,GC A3-34019,6,GC,27.49,Web,27.49
AMAZON,RH8 9EU,Surrey,52903,2019,12/11/2019,GC A3-34019,6,GC,27.49,Web,27.49
AMAZON,B17 0SW,BIRMINGHAM,52902,2019,12/11/2019,GC A3-34019,6,GC,27.49,Web,27.49
AMAZON,PO19 7UX,W Sussex,52901,2019,12/11/2019,GC A3-34019,6,GC,27.49,Web,27.49
AMAZON,OL12 6TZ,Lancashire,52899,2019,12/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
AMAZON,CT9 3XZ,Kent,52898,2019,12/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
AMAZON,TR13 0DH,cornwall,52897,2019,12/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
AMAZON,HA54DF,Middx,52896,2019,12/11/2019,GC A3-34019,6,GC,27.49,Web,27.49
AMAZON,BA2 7TZ,BATH,52895,2019,12/11/2019,GC A3-34019,6,GC,27.49,Web,27.49
AMAZON,SO41 8LW,Hants,52894,2019,12/11/2019,GC A3-34019,6,GC,27.49,Web,27.49
MER061,CB1 3AX,Cambridgeshire,52893,2019,12/11/2019,CR B2-03086,1,CR,0,Email,0
MER061,CB1 3AX,Cambridgeshire,52893,2019,12/11/2019,CR C8-10072,1,CR,0,Email,0
MER061,CB1 3AX,Cambridgeshire,52893,2019,12/11/2019,CR H3-AG004,1,CR,0,Email,0
MER061,CB1 3AX,Cambridgeshire,52893,2019,12/11/2019,CR H3-AF013,1,CR,0,Email,0
MER061,CB1 3AX,Cambridgeshire,52893,2019,12/11/2019,CR C8-13019,1,CR,0,Email,0
MER061,CB1 3AX,Cambridgeshire,52893,2019,12/11/2019,CR H3-73025,1,CR,0,Email,0
MER061,CB1 3AX,Cambridgeshire,52893,2019,12/11/2019,CR H3-AG006,1,CR,0,Email,0
MER061,CB1 3AX,Cambridgeshire,52893,2019,12/11/2019,CR H3-AF014,1,CR,0,Email,0
MER061,CB1 3AX,Cambridgeshire,52893,2019,12/11/2019,BW E6-01003,1,BW,0,Email,0
MER061,CB1 3AX,Cambridgeshire,52893,2019,12/11/2019,CR H3-AF015,1,CR,0,Email,0
ARR007,W1D 7LT,London,52891,2019,11/11/2019,GC D5-12009,12,GC,111.06,Email,555.3
ARR007,W1D 7LT,London,52891,2019,11/11/2019,GC D5-12009,48,GC,444.24,Email,555.3
OFF021,W1T 1AN,London,52888,2019,11/11/2019,CT B2-16TE,60,CT,114.24,Email,159.94
OFF021,W1T 1AN,London,52888,2019,11/11/2019,CT B2-16TE,24,CT,45.7,Email,159.94
AMAZON,CR0 8QX,Surrey,52885,2019,11/11/2019,GC A3-34019,1,GC,0,Web,0
LIN054,N1C 4DR,London,52884,2019,11/11/2019,GC C1-CC002,72,GC,146.88,Web,152.88
FLI007,B2 5BN,Birmingham,52880,2019,11/11/2019,GC A3-03012,24,GC,55.8,Email,211.55
FLI007,B2 5BN,Birmingham,52880,2019,11/11/2019,BW C1-01018,2,BW,14.45,Email,211.55
FLI007,B2 5BN,Birmingham,52880,2019,11/11/2019,GC C1-30005,120,GC,141.3,Email,211.55
BRY011,RH10 9RX,Crawley,52876,2019,11/11/2019,CT E7-01DS,360,CT,64.8,Web,151.2
BRY011,RH10 9RX,Crawley,52876,2019,11/11/2019,CT E7-01DF,480,CT,86.4,Web,151.2
AMAZON,EX68SB,Devon,52874,2019,11/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
AMAZON,GL5 4NQ,Glos,52873,2019,11/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
AMAZON,HA90TF,London,52872,2019,11/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
AMAZON,CM3 6SQ,Essex,52869,2019,11/11/2019,GC A3-34018,12,GC,69.98,Web,69.98
AMAZON,KY13AY,Fife,52868,2019,11/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
AMAZON,TS1 1SR,Cleveland,52867,2019,11/11/2019,GC A3-34018,6,GC,34.99,Web,34.99
AMAZON,LU5 5DB,Bedfordshire,52866,2019,11/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
AMAZON,RH1 5BJ,Redhill,52865,2019,11/11/2019,CR A3-20001,1,CR,24.16,Web,24.16
AMAZON,S44 5AJ,CHESTERFIELD,52864,2019,11/11/2019,GC A3-34018,6,GC,34.99,Web,34.99
